0,a,2364663,136.466305%,9.444176%
1,aa,1170242,17.024185%,-38.754729%
2,aapl,4406979,340.697916%,13597.034976%
3,abbv,1062194,6.219382%,31.829516%
4,abc,3536755,253.675457%,814.286373%
5,abt,2930926,193.092636%,255.482853%
6,ace,4536189,353.618852%,285.162932%
7,acn,3270855,227.085506%,459.672607%
8,act,3067122,206.712156%,309.856359%
9,adbe,4395224,339.522445%,835.094288%
10,adi,5282003,428.200311%,342.618949%
11,adm,2403632,140.363229%,178.320058%
12,adp,2968876,196.887647%,249.833271%
13,adsk,3670626,267.062600%,311.473760%
14,adt,978442,-2.155793%,16.334879%
15,aee,2115133,111.513280%,100.899637%
16,aep,2475503,147.550270%,93.830035%
17,aes,3796169,279.616921%,-43.177175%
18,aet,4404568,340.456801%,686.109335%
19,afl,3861106,286.110609%,509.941663%
20,agn,4022513,302.251257%,1129.701237%
21,aig,1106223,10.622313%,-92.150867%
22,aiv,2980620,198.062031%,173.415256%
23,aiz,1276567,27.656731%,167.063668%
24,akam,2951418,195.141799%,-57.751382%
25,all,2320348,132.034818%,64.110503%
26,altr,6617827,561.782655%,353.626529%
27,alxn,6927440,592.743978%,3621.662367%
28,amat,3585901,258.590115%,141.407797%
29,amd,800382,-19.961765%,-60.040000%
30,amgn,3795983,279.598316%,742.481031%
31,amp,1692947,69.294673%,194.341361%
32,amt,5795985,479.598536%,242.333255%
33,amzn,8280221,728.022109%,5842.052000%
34,an,3599072,259.907241%,125.961121%
35,anf,3940743,294.074295%,262.343812%
36,aon,3703581,270.358101%,142.519665%
37,apa,4476439,347.643856%,507.882454%
38,apc,4601621,360.162061%,556.683576%
39,apd,3330991,233.099101%,266.510622%
40,aph,4792656,379.265633%,1036.136144%
41,apol,5014268,401.426763%,43.856000%
42,arg,4300541,330.054108%,746.010836%
43,ati,1740187,74.018669%,-7.303801%
44,avb,3285039,228.503892%,605.638227%
45,avp,2893794,189.379449%,102.699927%
46,avy,2524237,152.423660%,54.190539%
47,axp,3229547,222.954679%,251.170624%
48,azo,4141797,314.179680%,1392.662365%
49,ba,2688853,168.885251%,187.662288%
50,bac,2660526,166.052585%,-23.400953%
51,bax,2838538,183.853757%,306.235884%
52,bbby,5650552,465.055236%,691.391245%
53,bbt,3408007,240.800654%,92.101841%
54,bby,5109713,410.971339%,774.358872%
55,bcr,3421801,242.180085%,795.865207%
56,bdx,3070732,207.073190%,413.263343%
57,beam,2209009,120.900859%,242.294705%
58,ben,3755285,275.528527%,320.483412%
59,bf.b,3083602,208.360223%,634.202771%
60,bhi,3139446,213.944579%,31.717095%
61,biib,5977605,497.760531%,3598.211347%
62,bk,4149629,314.962861%,50.819274%
63,blk,4362985,336.298508%,2354.921149%
64,bll,3819413,281.941259%,1095.242368%
65,bmc,4919185,391.918452%,39.784030%
66,bms,3061903,206.190283%,189.071869%
67,bmy,2307224,130.722413%,75.647468%
68,brcm,4284192,328.419193%,162.412538%
69,brkb,2765774,176.577385%,278.665789%
70,bsx,2216785,121.678450%,-1.936000%
71,btu,4262751,326.275073%,134.118926%
72,bwa,4306118,330.611820%,743.634471%
73,bxp,3282691,228.269082%,596.012648%
74,c,2601467,160.146717%,-72.504440%
75,ca,3716600,271.659957%,-33.301506%
76,cag,2341582,134.158167%,94.532861%
77,cah,2893713,189.371256%,146.237945%
78,cam,4512905,351.290467%,277.174138%
79,cat,3110091,211.009146%,409.612020%
80,cb,3441733,244.173277%,220.145012%
