0,a,2980442,198.044239%,9.444176%
1,aa,926227,-7.377266%,-38.754729%
2,aapl,4782087,378.208654%,13597.034976%
3,abbv,1056601,5.660082%,31.829516%
4,abc,4255778,325.577771%,814.286373%
5,abt,3337287,233.728737%,255.482853%
6,ace,6425966,542.596645%,285.162932%
7,acn,3788022,278.802209%,459.672607%
8,act,3343871,234.387053%,309.856359%
9,adbe,4849423,384.942308%,835.094288%
10,adi,7033598,603.359846%,342.618949%
11,adm,2538985,153.898536%,178.320058%
12,adp,3603491,260.349129%,249.833271%
13,adsk,5199754,419.975370%,311.473760%
14,adt,974707,-2.529304%,16.334879%
15,aee,2584235,158.423486%,100.899637%
16,aep,3342678,234.267802%,93.830035%
17,aes,8168335,716.833466%,-43.177175%
18,aet,5708264,470.826424%,686.109335%
19,afl,5168466,416.846591%,509.941663%
20,agn,5070861,407.086107%,1129.701237%
21,aig,-4029891,-502.989091%,-92.150867%
22,aiv,3678671,267.867122%,173.415256%
23,aiz,1678346,67.834627%,167.063668%
24,akam,2203883,120.388293%,-57.751382%
25,all,3578186,257.818632%,64.110503%
26,altr,7887750,688.775000%,353.626529%
27,alxn,8350567,735.056702%,3621.662367%
28,amat,4244155,324.415525%,141.407797%
29,amd,622764,-37.723561%,-60.040000%
30,amgn,4868488,386.848762%,742.481031%
31,amp,2320146,132.014600%,194.341361%
32,amt,10405669,940.566870%,242.333255%
33,amzn,12724319,1172.431921%,5842.052000%
34,an,5376082,437.608195%,125.961121%
35,anf,4949398,394.939757%,262.343812%
36,aon,4982825,398.282518%,142.519665%
37,apa,5990111,499.011084%,507.882454%
38,apc,5816305,481.630454%,556.683576%
39,apd,3903163,290.316266%,266.510622%
40,aph,6232785,523.278485%,1036.136144%
41,apol,7348245,634.824526%,43.856000%
42,arg,4789031,378.903071%,746.010836%
43,ati,1521613,52.161308%,-7.303801%
44,avb,3652814,265.281409%,605.638227%
45,avp,4122076,312.207561%,102.699927%
46,avy,3533956,253.395637%,54.190539%
47,axp,3214678,221.467757%,251.170624%
48,azo,5282344,428.234413%,1392.662365%
49,ba,3284162,228.416157%,187.662288%
50,bac,2224942,122.494175%,-23.400953%
51,bax,2817274,181.727401%,306.235884%
52,bbby,7451540,645.154041%,691.391245%
53,bbt,4364789,336.478857%,92.101841%
54,bby,7348559,634.855883%,774.358872%
55,bcr,4121505,312.150528%,795.865207%
56,bdx,3707135,270.713500%,413.263343%
57,beam,3159604,215.960365%,242.294705%
58,ben,5169865,416.986485%,320.483412%
59,bf.b,3694877,269.487721%,634.202771%
60,bhi,3893552,289.355212%,31.717095%
61,biib,7727103,672.710311%,3598.211347%
62,bk,5382043,438.204316%,50.819274%
63,blk,4830278,383.027780%,2354.921149%
64,bll,4654450,365.444958%,1095.242368%
65,bmc,8350963,735.096298%,39.784030%
66,bms,3961314,296.131444%,189.071869%
67,bmy,2738469,173.846912%,75.647468%
68,brcm,6822654,582.265391%,162.412538%
69,brkb,3022372,202.237240%,278.665789%
70,bsx,2750005,175.000527%,-1.936000%
71,btu,3888741,288.874071%,134.118926%
72,bwa,5512253,451.225307%,743.634471%
73,bxp,3497336,249.733643%,596.012648%
74,c,3771621,277.162095%,-72.504440%
75,ca,7103263,610.326317%,-33.301506%
76,cag,3068807,206.880697%,94.532861%
77,cah,3824468,282.446797%,146.237945%
78,cam,5310507,431.050709%,277.174138%
79,cat,3821823,282.182337%,409.612020%
80,cb,4568377,356.837721%,220.145012%
81,cbg,2268862,126.886174%,267.842509%
82,cbs,3868931,286.893100%,354.894200%
83,cce,3354196,235.419625%,88.377923%
84,cci,9516140,851.614040%,433.394643%
85,ccl,5333016,433.301561%,79.045822%
86,celg,9015110,801.511029%,19630.904965%
87,cern,8674844,767.484420%,1711.396093%
88,cf,4044050,304.405020%,1104.730508%
89,cfn,1551569,55.156927%,87.903511%
90,chk,4144805,314.480488%,273.783129%
91,chrw,6435648,543.564819%,1161.272187%
92,ci,2831607,183.160732%,360.171209%
93,cinf,3785625,278.562509%,94.412277%
94,cl,4148880,314.888010%,339.865136%
95,clf,6290347,529.034743%,461.242451%
96,clx,4189332,318.933240%,219.698747%
97,cma,4200412,320.041152%,13.872301%
98,cmcsa,4941789,394.178928%,367.452410%
99,cme,3399086,239.908613%,1029.685134%
100,cmg,2620725,162.072511%,801.075800%
101,cmi,4257839,325.783877%,1063.784182%
102,cms,509907,-49.009270%,3.856803%
103,cnp,4630599,363.059877%,142.330504%
104,cnx,5520571,452.057124%,483.736406%
105,cof,7206113,620.611266%,321.077741%
106,cog,6876093,587.609263%,2481.795733%
107,coh,6703036,570.303555%,2170.754536%
108,col,3385240,238.524046%,285.432094%
109,cop,3496670,249.667045%,484.707923%
110,cost,4678591,367.859108%,515.566545%
111,cov,1792403,79.240258%,75.874641%
112,cpb,2285398,128.539803%,29.832893%
113,crm,5132936,413.293609%,1104.394400%
114,csc,4697887,369.788686%,33.685757%
115,csco,2186460,118.645978%,190.689842%
116,csx,2395173,139.517256%,290.177442%
117,ctas,4835381,383.538089%,122.773646%
118,ctl,3991030,299.102972%,145.847855%
119,ctsh,12757474,1175.747395%,17433.634773%
120,ctxs,6400806,540.080552%,475.264749%
121,cvc,1220032,22.003232%,190.902895%
122,cvh,8510783,751.078333%,638.421609%
123,cvs,3465654,246.565415%,318.092838%
124,cvx,4205845,320.584514%,428.510911%
125,d,3178676,217.867580%,463.820408%
126,dd,3131189,213.118949%,64.113994%
127,de,4140438,314.043815%,284.668951%
128,dell,3349578,234.957802%,32.977886%
129,df,5593313,459.331283%,90.115547%
130,dfs,2820134,182.013409%,88.550095%
131,dg,1742391,74.239080%,146.525955%
132,dgx,5191511,419.151089%,1433.060304%
133,dhi,8731441,773.144053%,386.736710%
134,dhr,4206982,320.698245%,770.381819%
135,dis,3205416,220.541588%,131.676476%
136,disca,2694334,169.433384%,518.364774%
137,dlph,1230794,23.079448%,163.218886%
138,dltr,7185765,618.576516%,762.544288%
139,dnb,4146594,314.659392%,897.344425%
140,dnr,4552408,355.240812%,270.603602%
141,do,5012084,401.208354%,158.563904%
142,dov,4138257,313.825681%,221.934640%
