0,a,465366,-0.534634%,0.094442%
1,aa,368009,-0.631991%,-0.387547%
2,aapl,2241644,1.241644%,135.970350%
3,abbv,1000000,0.000000%,0.318295%
4,abc,3179863,2.179863%,8.142864%
5,abt,2027522,1.027522%,2.554829%
6,ace,3493271,2.493271%,2.851629%
7,acn,1820330,0.820330%,4.596726%
8,act,672758,-0.327242%,3.098564%
9,adbe,1121972,0.121972%,8.350943%
10,adi,1226724,0.226724%,3.426189%
11,adm,1770647,0.770647%,1.783201%
12,adp,2421995,1.421995%,2.498333%
13,adsk,1052444,0.052444%,3.114738%
14,adt,958038,-0.041962%,0.163349%
15,aee,1656127,0.656127%,1.008996%
16,aep,1184852,0.184852%,0.938300%
17,aes,90689,-0.909311%,-0.431772%
18,aet,1628634,0.628634%,6.861093%
19,afl,1979456,0.979456%,5.099417%
20,agn,3479950,2.479950%,11.297012%
21,aig,118199,-0.881801%,-0.921509%
22,aiv,940689,-0.059311%,1.734153%
23,aiz,933517,-0.066483%,1.670637%
24,akam,28435,-0.971565%,-0.577514%
25,all,640361,-0.359639%,0.641105%
26,altr,3019082,2.019082%,3.536265%
27,alxn,3645594,2.645594%,36.216624%
28,amat,972515,-0.027485%,1.414078%
29,amd,94720,-0.905280%,-0.600400%
30,amgn,3495128,2.495128%,7.424810%
31,amp,572070,-0.427930%,1.943414%
32,amt,220162,-0.779838%,2.423333%
33,amzn,2063722,1.063722%,58.420520%
34,an,1351541,0.351541%,1.259611%
35,anf,1259850,0.259850%,2.623438%
36,aon,2635383,1.635383%,1.425197%
37,apa,2089302,1.089302%,5.078825%
38,apc,2582905,1.582905%,5.566836%
39,apd,2112502,1.112502%,2.665106%
40,aph,1802951,0.802951%,10.361361%
41,apol,2156626,1.156626%,0.438560%
42,arg,1337956,0.337956%,7.460108%
43,ati,368732,-0.631268%,-0.073038%
44,avb,1267504,0.267504%,6.056382%
45,avp,1625742,0.625742%,1.026999%
46,avy,1497677,0.497677%,0.541905%
47,axp,998888,-0.001112%,2.511706%
48,azo,5469477,4.469477%,13.926624%
49,ba,889989,-0.110011%,1.876623%
50,bac,765695,-0.234305%,-0.234010%
51,bax,1485029,0.485029%,3.062359%
52,bbby,6830925,5.830925%,6.913912%
53,bbt,3073869,2.073869%,0.921018%
54,bby,1954981,0.954981%,7.743589%
55,bcr,3991206,2.991206%,7.958652%
56,bdx,2915607,1.915607%,4.132633%
57,beam,1206428,0.206428%,2.422947%
58,ben,2692516,1.692516%,3.204834%
59,bf.b,2697941,1.697941%,6.342028%
60,bhi,912251,-0.087749%,0.317171%
61,biib,8510516,7.510516%,35.982113%
