0,a,1256727,25.672682%,9.444176%
1,aa,935378,-6.462152%,-38.754729%
2,aapl,5297547,429.754656%,13597.034976%
3,abbv,1061435,6.143490%,31.829516%
4,abc,2913227,191.322728%,814.286373%
5,abt,2203459,120.345930%,255.482853%
6,ace,2919178,191.917800%,285.162932%
7,acn,2652887,165.288672%,459.672607%
8,act,2345912,134.591175%,309.856359%
9,adbe,3617225,261.722504%,835.094288%
10,adi,3843046,284.304643%,342.618949%
11,adm,1844419,84.441867%,178.320058%
12,adp,2202134,120.213419%,249.833271%
13,adsk,2193341,119.334144%,311.473760%
14,adt,1005128,0.512846%,16.334879%
15,aee,1617726,61.772586%,100.899637%
16,aep,1520580,52.057959%,93.830035%
17,aes,722785,-27.721509%,-43.177175%
18,aet,3173161,217.316067%,686.109335%
19,afl,2446673,144.667329%,509.941663%
20,agn,3796696,279.669641%,1129.701237%
21,aig,401293,-59.870717%,-92.150867%
22,aiv,2035159,103.515856%,173.415256%
23,aiz,1230355,23.035454%,167.063668%
24,akam,595457,-40.454266%,-57.751382%
25,all,1490924,49.092362%,64.110503%
26,altr,6973114,597.311369%,353.626529%
27,alxn,6889151,588.915079%,3621.662367%
28,amat,2499838,149.983752%,141.407797%
29,amd,515596,-48.440371%,-60.040000%
30,amgn,3354305,235.430467%,742.481031%
31,amp,1535908,53.590778%,194.341361%
32,amt,1958368,95.836819%,242.333255%
33,amzn,9770760,877.076005%,5842.052000%
34,an,1754637,75.463742%,125.961121%
35,anf,2223250,122.325012%,262.343812%
36,aon,2140000,113.999970%,142.519665%
37,apa,3676932,267.693153%,507.882454%
38,apc,3915426,291.542555%,556.683576%
39,apd,2463819,146.381871%,266.510622%
40,aph,4502255,350.225457%,1036.136144%
41,apol,3470479,247.047888%,43.856000%
42,arg,4104535,310.453487%,746.010836%
43,ati,1049525,4.952528%,-7.303801%
44,avb,3072050,207.204998%,605.638227%
45,avp,1584386,58.438626%,102.699927%
46,avy,1546307,54.630658%,54.190539%
47,axp,2386060,138.605951%,251.170624%
48,azo,3716861,271.686074%,1392.662365%
49,ba,1801620,80.161988%,187.662288%
50,bac,1554238,55.423818%,-23.400953%
51,bax,2326568,132.656785%,306.235884%
52,bbby,5481982,448.198229%,691.391245%
53,bbt,2136233,113.623270%,92.101841%
54,bby,2977832,197.783208%,774.358872%
55,bcr,2976784,197.678424%,795.865207%
56,bdx,2363409,136.340873%,413.263343%
57,beam,1555938,55.593755%,242.294705%
58,ben,2490257,149.025726%,320.483412%
59,bf.b,2667310,166.730980%,634.202771%
60,bhi,1872808,87.280805%,31.717095%
61,biib,7770880,677.087986%,3598.211347%
62,bk,2671794,167.179399%,50.819274%
63,blk,5149085,414.908547%,2354.921149%
64,bll,3372924,237.292367%,1095.242368%
65,bmc,2325478,132.547842%,39.784030%
66,bms,2096245,109.624509%,189.071869%
67,bmy,1677909,67.790922%,75.647468%
68,brcm,1929732,92.973218%,162.412538%
69,brkb,2039741,103.974148%,278.665789%
70,bsx,1333220,33.321968%,-1.936000%
71,btu,3426617,242.661666%,134.118926%
72,bwa,3511783,251.178327%,743.634471%
73,bxp,2968771,196.877121%,596.012648%
74,c,745519,-25.448097%,-72.504440%
75,ca,1334313,33.431273%,-33.301506%
76,cag,1622388,62.238776%,94.532861%
77,cah,1842742,84.274165%,146.237945%
78,cam,3602089,260.208851%,277.174138%
79,cat,2282811,128.281064%,409.612020%
80,cb,2413367,141.336738%,220.145012%
81,cbg,2659089,165.908888%,267.842509%
82,cbs,2245084,124.508363%,354.894200%
83,cce,1448327,44.832739%,88.377923%
84,cci,2748994,174.899435%,433.394643%
85,ccl,1914408,91.440834%,79.045822%
86,celg,14655329,1365.532856%,19630.904965%
87,cern,7971853,697.185304%,1711.396093%
88,cf,3383840,238.384011%,1104.730508%
89,cfn,1269532,26.953185%,87.903511%
90,chk,2449481,144.948100%,273.783129%
91,chrw,4989034,398.903442%,1161.272187%
92,ci,1659915,65.991510%,360.171209%
93,cinf,1865004,86.500397%,94.412277%
94,cl,2499270,149.926994%,339.865136%
95,clf,2529842,152.984197%,461.242451%
96,clx,2223897,122.389692%,219.698747%
97,cma,1917980,91.798030%,13.872301%
98,cmcsa,3273553,227.355349%,367.452410%
99,cme,2929732,192.973197%,1029.685134%
100,cmg,2767507,176.750705%,801.075800%
101,cmi,3667826,266.782579%,1063.784182%
102,cms,736683,-26.331663%,3.856803%
103,cnp,1913455,91.345544%,142.330504%
104,cnx,5105706,410.570647%,483.736406%
105,cof,3634723,263.472281%,321.077741%
106,cog,6971613,597.161339%,2481.795733%
107,coh,5627766,462.776606%,2170.754536%
108,col,2073765,107.376512%,285.432094%
109,cop,2678630,167.862983%,484.707923%
110,cost,3220088,222.008770%,515.566545%
111,cov,1410110,41.011000%,75.874641%
112,cpb,1346775,34.677518%,29.832893%
113,crm,3770139,277.013909%,1104.394400%
114,csc,1590742,59.074184%,33.685757%
115,csco,1697542,69.754244%,190.689842%
116,csx,2382827,138.282677%,290.177442%
117,ctas,2136697,113.669672%,122.773646%
118,ctl,1866473,86.647341%,145.847855%
119,ctsh,15966261,1496.626105%,17433.634773%
120,ctxs,3841081,284.108124%,475.264749%
121,cvc,1538608,53.860788%,190.902895%
122,cvh,3775171,277.517085%,638.421609%
123,cvs,2447717,144.771668%,318.092838%
124,cvx,2667226,166.722633%,428.510911%
125,d,2368069,136.806895%,463.820408%
126,dd,1587543,58.754251%,64.113994%
127,de,2627797,162.779744%,284.668951%
128,dell,1593043,59.304286%,32.977886%
129,df,1937960,93.796025%,90.115547%
130,dfs,1957955,95.795550%,88.550095%
131,dg,1463311,46.331117%,146.525955%
132,dgx,4078054,307.805359%,1433.060304%
133,dhi,4507338,350.733770%,386.736710%
134,dhr,3083466,208.346566%,770.381819%
135,dis,1806397,80.639741%,131.676476%
136,disca,2383477,138.347678%,518.364774%
137,dlph,1274103,27.410306%,163.218886%
138,dltr,4514787,351.478723%,762.544288%
139,dnb,3179435,217.943516%,897.344425%
140,dnr,3398931,239.893056%,270.603602%
141,do,2463720,146.371950%,158.563904%
142,dov,2186146,118.614554%,221.934640%
143,dow,1419241,41.924147%,99.304878%
144,dps,1407689,40.768887%,93.491796%
145,dri,3243459,224.345938%,659.950125%
146,dte,1962822,96.282157%,341.504216%
147,dtv,2235876,123.587640%,304.205779%
148,duk,1754710,75.470952%,207.378598%
149,dva,3128735,212.873476%,523.268151%
150,dvn,2649273,164.927302%,219.858118%
151,ea,2938750,193.874970%,181.028089%
152,ebay,5562523,456.252348%,2290.874182%
153,ecl,3024645,202.464509%,713.224917%
154,ed,1762703,76.270333%,227.240182%
155,efx,2317966,131.796625%,253.009467%
156,eix,1852672,85.267174%,173.957077%
157,el,2476913,147.691311%,500.595781%
158,emc,2466714,146.671366%,301.896724%
159,emn,1910154,91.015407%,359.138913%
160,emr,2091241,109.124080%,228.471676%
161,eog,5363981,436.398139%,1536.359335%
162,eqr,3136731,213.673081%,373.653998%
163,eqt,3316561,231.656056%,1275.890568%
164,esrx,6429426,542.942624%,3370.126400%
165,esv,2836404,183.640446%,104.816526%
166,etfc,838728,-16.127210%,-74.308934%
167,etn,2192100,119.210046%,407.251829%
168,etr,2115509,111.550904%,305.018814%
169,ew,3608173,260.817290%,937.675571%
170,exc,2163941,116.394078%,347.143438%
171,expd,5174785,417.478512%,839.767234%
172,expe,1580382,58.038208%,114.405672%
173,f,1173404,17.340401%,41.525208%
174,fast,4564951,356.495075%,1055.780549%
175,fcx,3078584,207.858425%,495.184019%
176,fdo,3999107,299.910654%,506.243674%
177,fdx,2279443,127.944312%,274.010840%
178,fe,1812318,81.231832%,178.477652%
179,ffiv,3635849,263.584905%,1651.612488%
180,fhn,1351432,35.143173%,-34.713692%
181,fis,2018634,101.863393%,223.310325%
182,fisv,3400619,240.061883%,596.372727%
183,fitb,1621426,62.142569%,-23.603043%
184,flir,6633582,563.358167%,1247.708973%
185,flr,2479225,147.922508%,420.472007%
186,fls,2306703,130.670270%,596.488396%
187,fmc,2613441,161.344055%,696.135702%
188,fosl,7969513,696.951294%,2337.281072%
189,frx,2691685,169.168452%,609.895762%
190,fslr,1130962,13.096175%,67.261143%
191,fti,3875754,287.575414%,948.990817%
192,ftr,1436281,43.628128%,33.320066%
193,gas,2294845,129.484520%,366.937520%
194,gci,605262,-39.473758%,-38.131621%
195,gd,2135714,113.571406%,443.890261%
196,ge,1314194,31.419350%,52.402506%
197,gild,12216084,1121.608414%,4859.438137%
198,gis,2152199,115.219862%,354.000312%
199,glw,997428,-0.257242%,38.004394%
200,gme,2640090,164.009003%,437.961088%
201,gnw,505135,-49.486518%,-27.244431%
202,goog,2078910,107.891033%,789.330757%
203,gpc,2090901,109.090100%,323.707777%
204,gps,2364979,136.497886%,237.761337%
205,grmn,2348900,134.890002%,542.194450%
206,gs,2083963,108.396260%,142.604970%
207,gt,512301,-48.769865%,-64.356225%
208,gww,3244748,224.474849%,586.450885%
