0,a,2251991,125.199080%,9.444176%
1,aa,1490939,49.093877%,-38.754729%
2,aapl,4339734,333.973398%,13597.034976%
3,abbv,1072301,7.230146%,31.829516%
4,abc,3405378,240.537769%,814.286373%
5,abt,2600690,160.069008%,255.482853%
6,ace,3450877,245.087651%,285.162932%
7,acn,2971302,197.130242%,459.672607%
8,act,2783724,178.372389%,309.856359%
9,adbe,3995694,299.569401%,835.094288%
10,adi,4209435,320.943530%,342.618949%
11,adm,2565316,156.531615%,178.320058%
12,adp,2598250,159.824977%,249.833271%
13,adsk,3315588,231.558789%,311.473760%
14,adt,1004777,0.477688%,16.334879%
15,aee,1931507,93.150695%,100.899637%
16,aep,2108481,110.848086%,93.830035%
17,aes,2793863,179.386270%,-43.177175%
18,aet,3712477,271.247651%,686.109335%
19,afl,3177893,217.789332%,509.941663%
20,agn,3461429,246.142883%,1129.701237%
21,aig,3486754,248.675445%,-92.150867%
22,aiv,2786053,178.605347%,173.415256%
23,aiz,1656759,65.675872%,167.063668%
24,akam,2668088,166.808813%,-57.751382%
25,all,2157615,115.761530%,64.110503%
26,altr,5221289,422.128909%,353.626529%
27,alxn,5724088,472.408770%,3621.662367%
28,amat,3176718,217.671753%,141.407797%
29,amd,1570590,57.059021%,-60.040000%
30,amgn,3352813,235.281329%,742.481031%
31,amp,2028144,102.814393%,194.341361%
32,amt,3747796,274.779559%,242.333255%
33,amzn,6452969,545.296949%,5842.052000%
34,an,2873078,187.307769%,125.961121%
35,anf,3482091,248.209110%,262.343812%
36,aon,2931224,193.122391%,142.519665%
37,apa,3770959,277.095891%,507.882454%
38,apc,3967523,296.752291%,556.683576%
39,apd,2953228,195.322789%,266.510622%
40,aph,4101858,310.185792%,1036.136144%
41,apol,3734411,273.441088%,43.856000%
42,arg,3916105,291.610520%,746.010836%
43,ati,2114802,111.480192%,-7.303801%
44,avb,3119064,211.906369%,605.638227%
45,avp,2478774,147.877448%,102.699927%
46,avy,2142242,114.224208%,54.190539%
47,axp,2871618,187.161828%,251.170624%
48,azo,3629159,262.915853%,1392.662365%
49,ba,2486864,148.686405%,187.662288%
50,bac,2612837,161.283698%,-23.400953%
51,bax,2697996,169.799565%,306.235884%
52,bbby,4435420,343.542034%,691.391245%
53,bbt,2849363,184.936347%,92.101841%
54,bby,3871716,287.171624%,774.358872%
55,bcr,3043095,204.309463%,795.865207%
56,bdx,2666670,166.667042%,413.263343%
57,beam,2106914,110.691414%,242.294705%
58,ben,3217640,221.764021%,320.483412%
59,bf.b,2822359,182.235921%,634.202771%
60,bhi,2787126,178.712603%,31.717095%
61,biib,5395116,439.511588%,3598.211347%
62,bk,3316266,231.626633%,50.819274%
63,blk,4108043,310.804281%,2354.921149%
64,bll,3389745,238.974517%,1095.242368%
65,bmc,3638079,263.807864%,39.784030%
66,bms,2560711,156.071101%,189.071869%
67,bmy,2094828,109.482760%,75.647468%
68,brcm,3729471,272.947138%,162.412538%
69,brkb,2453597,145.359656%,278.665789%
70,bsx,1968714,96.871403%,-1.936000%
71,btu,3696802,269.680162%,134.118926%
72,bwa,3757302,275.730227%,743.634471%
73,bxp,3093671,209.367149%,596.012648%
74,c,1785813,78.581284%,-72.504440%
75,ca,2498694,149.869382%,-33.301506%
76,cag,2113401,111.340090%,94.532861%
77,cah,2402378,140.237787%,146.237945%
78,cam,3943082,294.308214%,277.174138%
79,cat,2896063,189.606297%,409.612020%
80,cb,2833454,183.345446%,220.145012%
81,cbg,3406316,240.631566%,267.842509%
82,cbs,2990031,199.003051%,354.894200%
83,cce,2141177,114.117725%,88.377923%
84,cci,4061806,306.180555%,433.394643%
85,ccl,2870618,187.061796%,79.045822%
86,celg,6704858,570.485770%,19630.904965%
87,cern,5404872,440.487223%,1711.396093%
88,cf,3655579,265.557903%,1104.730508%
89,cfn,1440484,44.048419%,87.903511%
90,chk,3847513,284.751312%,273.783129%
91,chrw,4025516,302.551603%,1161.272187%
92,ci,2399913,139.991284%,360.171209%
93,cinf,2423937,142.393678%,94.412277%
94,cl,2835023,183.502251%,339.865136%
95,clf,3842255,284.225542%,461.242451%
96,clx,2690719,169.071857%,219.698747%
97,cma,2710732,171.073165%,13.872301%
98,cmcsa,3393834,239.383356%,367.452410%
99,cme,2989958,198.995778%,1029.685134%
100,cmg,2854150,185.415012%,801.075800%
101,cmi,3853446,285.344576%,1063.784182%
102,cms,1000231,0.023118%,3.856803%
103,cnp,3069984,206.998358%,142.330504%
104,cnx,4747982,374.798153%,483.736406%
105,cof,4232447,323.244682%,321.077741%
106,cog,4987541,398.754138%,2481.795733%
107,coh,4679350,367.934977%,2170.754536%
108,col,2588638,158.863751%,285.432094%
109,cop,2956934,195.693392%,484.707923%
110,cost,3349405,234.940479%,515.566545%
111,cov,1722746,72.274595%,75.874641%
112,cpb,1718372,71.837189%,29.832893%
113,crm,3715882,271.588239%,1104.394400%
114,csc,2395043,139.504287%,33.685757%
115,csco,2276782,127.678201%,190.689842%
116,csx,2853147,185.314704%,290.177442%
