0,a,385283,-61.471733%,9.444176%
1,aa,602907,-39.709309%,-38.754729%
2,aapl,2025303,102.530307%,13597.034976%
3,abbv,1031658,3.165768%,31.829516%
4,abc,2613457,161.345743%,814.286373%
5,abt,2164599,116.459905%,255.482853%
6,ace,4868245,386.824509%,285.162932%
7,acn,1940710,94.070966%,459.672607%
8,act,1255624,25.562414%,309.856359%
9,adbe,983781,-1.621856%,835.094288%
10,adi,2204123,120.412339%,342.618949%
11,adm,1095320,9.532012%,178.320058%
12,adp,2672054,167.205414%,249.833271%
13,adsk,1329521,32.952097%,311.473760%
14,adt,955631,-4.436872%,16.334879%
15,aee,2025473,102.547279%,100.899637%
16,aep,1608350,60.835008%,93.830035%
17,aes,246332,-75.366763%,-43.177175%
18,aet,2168710,116.871001%,686.109335%
19,afl,2138642,113.864237%,509.941663%
20,agn,4807018,380.701803%,1129.701237%
21,aig,45526,-95.447398%,-92.150867%
22,aiv,1655203,65.520306%,173.415256%
23,aiz,1264360,26.435954%,167.063668%
24,akam,40816,-95.918357%,-57.751382%
25,all,1339688,33.968850%,64.110503%
26,altr,7172266,617.226626%,353.626529%
27,alxn,2500371,150.037117%,3621.662367%
28,amat,1029099,2.909921%,141.407797%
29,amd,122775,-87.722530%,-60.040000%
30,amgn,3147827,214.782676%,742.481031%
31,amp,992226,-0.777435%,194.341361%
32,amt,810681,-18.931878%,242.333255%
33,amzn,3980583,298.058307%,5842.052000%
34,an,1507895,50.789481%,125.961121%
35,anf,1550941,55.094112%,262.343812%
36,aon,2334692,133.469167%,142.519665%
37,apa,4758991,375.899083%,507.882454%
38,apc,4002091,300.209054%,556.683576%
39,apd,2152396,115.239636%,266.510622%
40,aph,3108731,210.873099%,1036.136144%
41,apol,5209300,420.929984%,43.856000%
42,arg,3074219,207.421901%,746.010836%
43,ati,465607,-53.439294%,-7.303801%
44,avb,1965242,96.524151%,605.638227%
45,avp,1622909,62.290876%,102.699927%
46,avy,1967963,96.796301%,54.190539%
47,axp,1314798,31.479843%,251.170624%
48,azo,4447198,344.719770%,1392.662365%
49,ba,1070184,7.018396%,187.662288%
50,bac,432994,-56.700649%,-23.400953%
51,bax,1738543,73.854266%,306.235884%
52,bbby,9852915,885.291473%,691.391245%
53,bbt,2272958,127.295833%,92.101841%
54,bby,1680744,68.074363%,774.358872%
55,bcr,4242725,324.272491%,795.865207%
56,bdx,3166789,216.678932%,413.263343%
57,beam,1589305,58.930513%,242.294705%
58,ben,1705628,70.562790%,320.483412%
59,bf.b,3371805,237.180531%,634.202771%
60,bhi,1501244,50.124403%,31.717095%
61,biib,4878087,387.808727%,3598.211347%
62,bk,2273360,127.336040%,50.819274%
63,blk,2295707,129.570729%,2354.921149%
64,bll,3319526,231.952589%,1095.242368%
65,bmc,2780360,178.035954%,39.784030%
66,bms,2401282,140.128226%,189.071869%
67,bmy,1791512,79.151243%,75.647468%
68,brcm,791728,-20.827157%,162.412538%
69,brkb,1829611,82.961107%,278.665789%
70,bsx,644551,-35.544873%,-1.936000%
71,btu,1071377,7.137716%,134.118926%
72,bwa,3313366,231.336592%,743.634471%
73,bxp,1747513,74.751332%,596.012648%
74,c,364513,-63.548715%,-72.504440%
75,ca,1954412,95.441238%,-33.301506%
76,cag,1789315,78.931543%,94.532861%
77,cah,2116595,111.659520%,146.237945%
78,cam,2578390,157.838976%,277.174138%
79,cat,1715477,71.547669%,409.612020%
80,cb,3722457,272.245742%,220.145012%
81,cbg,318081,-68.191864%,267.842509%
82,cbs,1424316,42.431647%,354.894200%
83,cce,1923868,92.386803%,88.377923%
84,cci,955312,-4.468831%,433.394643%
85,ccl,2499573,149.957277%,79.045822%
86,celg,7980113,698.011283%,19630.904965%
87,cern,4975348,397.534816%,1711.396093%
