0,a,817705,-0.182295%,0.094442%
1,aa,811460,-0.188540%,-0.387547%
2,aapl,4778350,3.778350%,135.970350%
3,abbv,1051807,0.051807%,0.318295%
4,abc,2501502,1.501502%,8.142864%
5,abt,2333744,1.333744%,2.554829%
6,ace,3526577,2.526577%,2.851629%
7,acn,2574635,1.574635%,4.596726%
8,act,2415215,1.415215%,3.098564%
9,adbe,3226419,2.226419%,8.350943%
10,adi,3951284,2.951284%,3.426189%
11,adm,1463998,0.463998%,1.783201%
12,adp,2379977,1.379977%,2.498333%
13,adsk,1757229,0.757229%,3.114738%
14,adt,977653,-0.022347%,0.163349%
15,aee,1709361,0.709361%,1.008996%
16,aep,1477805,0.477805%,0.938300%
17,aes,413456,-0.586544%,-0.431772%
18,aet,3041742,2.041742%,6.861093%
19,afl,2454680,1.454680%,5.099417%
20,agn,4313191,3.313191%,11.297012%
21,aig,188346,-0.811654%,-0.921509%
22,aiv,1881046,0.881046%,1.734153%
23,aiz,977804,-0.022196%,1.670637%
24,akam,377978,-0.622022%,-0.577514%
25,all,1316166,0.316166%,0.641105%
26,altr,8547554,7.547554%,3.536265%
27,alxn,5599580,4.599580%,36.216624%
28,amat,2403596,1.403596%,1.414078%
29,amd,258582,-0.741418%,-0.600400%
30,amgn,3477794,2.477794%,7.424810%
31,amp,1128805,0.128805%,1.943414%
32,amt,1813214,0.813214%,2.423333%
33,amzn,10314315,9.314315%,58.420520%
34,an,1574807,0.574807%,1.259611%
35,anf,1836393,0.836393%,2.623438%
36,aon,2317225,1.317225%,1.425197%
37,apa,4160075,3.160075%,5.078825%
38,apc,4057271,3.057271%,5.566836%
39,apd,2528647,1.528647%,2.665106%
40,aph,4706153,3.706153%,10.361361%
41,apol,4594114,3.594114%,0.438560%
42,arg,4259463,3.259463%,7.460108%
43,ati,725079,-0.274921%,-0.073038%
44,avb,2951946,1.951946%,6.056382%
45,avp,1430020,0.430020%,1.026999%
46,avy,1607985,0.607985%,0.541905%
47,axp,2250426,1.250426%,2.511706%
48,azo,3730903,2.730903%,13.926624%
49,ba,1632986,0.632986%,1.876623%
50,bac,1062955,0.062955%,-0.234010%
51,bax,2258645,1.258645%,3.062359%
52,bbby,7040616,6.040616%,6.913912%
53,bbt,2166694,1.166694%,0.921018%
54,bby,3317698,2.317698%,7.743589%
55,bcr,3203140,2.203140%,7.958652%
56,bdx,2670640,1.670640%,4.132633%
57,beam,1404341,0.404341%,2.422947%
58,ben,2274681,1.274681%,3.204834%
59,bf.b,2769664,1.769664%,6.342028%
60,bhi,1790025,0.790025%,0.317171%
61,biib,6677392,5.677392%,35.982113%
62,bk,2983128,1.983128%,0.508193%
63,blk,4861497,3.861497%,23.549211%
64,bll,3391028,2.391028%,10.952424%
65,bmc,2269762,1.269762%,0.397840%
66,bms,2284585,1.284585%,1.890719%
67,bmy,1779756,0.779756%,0.756475%
68,brcm,1380410,0.380410%,1.624125%
69,brkb,2155801,1.155801%,2.786658%
70,bsx,1256130,0.256130%,-0.019360%
71,btu,3804068,2.804068%,1.341189%
72,bwa,3521892,2.521892%,7.436345%
73,bxp,2876741,1.876741%,5.960126%
74,c,566735,-0.433265%,-0.725044%
75,ca,1372193,0.372193%,-0.333015%
76,cag,1632249,0.632249%,0.945329%
77,cah,1964548,0.964548%,1.462379%
78,cam,3471693,2.471693%,2.771741%
79,cat,2079107,1.079107%,4.096120%
80,cb,2804660,1.804660%,2.201450%
81,cbg,1860342,0.860342%,2.678425%
82,cbs,1918686,0.918686%,3.548942%
83,cce,1344197,0.344197%,0.883779%
84,cci,3149625,2.149625%,4.333946%
85,ccl,1893813,0.893813%,0.790458%
86,celg,13719161,12.719161%,196.309050%
87,cern,8344278,7.344278%,17.113961%
88,cf,2826043,1.826043%,11.047305%
89,cfn,1266869,0.266869%,0.879035%
90,chk,1848050,0.848050%,2.737831%
91,chrw,6808574,5.808574%,11.612722%
92,ci,1469899,0.469899%,3.601712%
93,cinf,1919633,0.919633%,0.944123%
94,cl,2670764,1.670764%,3.398651%
95,clf,2047409,1.047409%,4.612425%
96,clx,2393627,1.393627%,2.196987%
97,cma,1959626,0.959626%,0.138723%
98,cmcsa,3755547,2.755547%,3.674524%
99,cme,2784044,1.784044%,10.296851%
100,cmg,2717375,1.717375%,8.010758%
101,cmi,3005774,2.005774%,10.637842%
102,cms,542271,-0.457729%,0.038568%
103,cnp,1596213,0.596213%,1.423305%
104,cnx,5414355,4.414355%,4.837364%
105,cof,3751410,2.751410%,3.210777%
106,cog,7353241,6.353241%,24.817957%
107,coh,4986990,3.986990%,21.707545%
108,col,1949224,0.949224%,2.854321%
109,cop,2806553,1.806553%,4.847079%
